2026/01,[紀錄]Release Item 問題&服務上線價值,FontripReleaseItem-2026Q1,營運處-Release Item更新項目清單,,,,2025/01,[紀錄]Release Item 問題&服務上線價值,,,,,,系統更新總數,,,,,,,,,
使用者功能優化,0,0,0,0,0,0,使用者功能優化,0,0,0,0,0,0,,,,,,,,,,
總計,21,0,0,0,0,,總計,0,0,0,0,0,,,,,,,,,,,
各部門內部計價," NT$ 13,125 ", NT$ -   , NT$ -   , NT$ -   , NT$ -   ,,各部門內部計價, NT$ -   , NT$ -   , NT$ -   , NT$ -   , NT$ -   ,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
2026/04,[紀錄]Release Item 問題&服務上線價值,,,,,,2025/04,[紀錄]Release Item 問題&服務上線價值,,,,,,,,,,,,,,,
項目/計價部門,研發處,"營運處
創新服務部","營運處
旅遊產品發展部","營運處
系統服務發展部","管理本部
財務課",小計,項目/計價部門,研發處,"營運處
創新服務部","營運處
旅遊產品發展部","營運處
系統服務發展部","管理本部
財務課",小計,,,,,,,,,,
新開發項目/通路,0,0,0,0,0,0,新開發項目/通路,0,0,0,0,0,0,,,,,,,,,,
Bug修復,4,0,0,0,0,4,Bug修復,0,0,0,0,0,0,,,,,,,,,,
程式邏輯調整,0,0,0,0,0,0,程式邏輯調整,0,0,0,0,0,0,,,,,,,,,,
產品線功能優化,2,0,0,0,0,2,產品線功能優化,0,0,0,0,0,0,,,,,,,,,,
使用者功能優化,0,0,0,1,0,1,使用者功能優化,0,0,0,0,0,0,,,,,,,,,,
總計,6,0,0,1,0,,總計,0,0,0,0,0,,,,,,,,,,,
各部門內部計價," NT$ 3,750 ", NT$ -   , NT$ -   , NT$ 625 , NT$ -   ,,各部門內部計價, NT$ -   , NT$ -   , NT$ -   , NT$ -   , NT$ -   ,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
2026/05,[紀錄]Release Item 問題&服務上線價值,,,,,,2025/05,[紀錄]Release Item 問題&服務上線價值,,,,,,,,,,,,,,,
項目/計價部門,研發處,"營運處
創新服務部","營運處
旅遊產品發展部","營運處
系統服務發展部","管理本部
財務課",小計,項目/計價部門,研發處,"營運處
創新服務部","營運處
旅遊產品發展部","營運處
系統服務發展部","管理本部
財務課",小計,,,,,,,,,,
新開發項目/通路,0,0,1,0,0,1,新開發項目/通路,0,0,0,0,0,0,,,,,,,,,,
Bug修復,1,0,0,0,0,1,Bug修復,0,0,0,0,0,0,,,,,,,,,,
程式邏輯調整,4,0,0,0,0,4,程式邏輯調整,0,0,0,0,0,0,,,,,,,,,,
產品線功能優化,2,0,0,0,0,2,產品線功能優化,0,0,0,0,0,0,,,,,,,,,,
使用者功能優化,0,0,2,0,0,2,使用者功能優化,0,0,0,0,0,0,,,,,,,,,,
總計,7,0,3,0,0,,總計,0,0,0,0,0,,,,,,,,,,,
各部門內部計價," NT$ 4,375 ", NT$ -   ," NT$ 1,875 ", NT$ -   , NT$ -   ,,各部門內部計價, NT$ -   , NT$ -   , NT$ -   , NT$ -   , NT$ -   ,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
2026/06,[紀錄]Release Item 問題&服務上線價值,,,,,,2025/06,[紀錄]Release Item 問題&服務上線價值,,,,,,,,,,,,,,,
項目/計價部門,研發處,"營運處
創新服務部","營運處
旅遊產品發展部","營運處
系統服務發展部","管理本部
財務課",小計,項目/計價部門,研發處,"營運處
創新服務部","營運處
旅遊產品發展部","營運處
系統服務發展部","管理本部
財務課",小計,,,,,,,,,,
新開發項目/通路,,,,,,0,新開發項目/通路,0,0,0,0,0,0,,,,,,,,,,
Bug修復,,,,,,0,Bug修復,2,0,0,0,0,2,,,,,,,,,,
程式邏輯調整,,,,,,0,程式邏輯調整,7,0,0,0,0,7,,,,,,,,,,
產品線功能優化,,,,,,0,產品線功能優化,6,0,0,0,0,6,,,,,,,,,,
使用者功能優化,,,,,,0,使用者功能優化,0,0,0,3,0,3,,,,,,,,,,
總計,0,0,0,0,0,,總計,15,0,0,3,0,,,,,,,,,,,
各部門內部計價, NT$ -   , NT$ -   , NT$ -   , NT$ -   , NT$ -   ,,各部門內部計價," NT$ 9,375 ", NT$ -   , NT$ -   ," NT$ 1,875 ", NT$ -   ,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
2026/07,[紀錄]Release Item 問題&服務上線價值,,,,,,2025/07,[紀錄]Release Item 問題&服務上線價值,,,,,,,,,,,,,,,
項目/計價部門,研發處,"營運處
創新服務部","營運處
旅遊產品發展部","營運處
系統服務發展部","管理本部
財務課",小計,項目/計價部門,研發處,"營運處
創新服務部","營運處
旅遊產品發展部","營運處
系統服務發展部","管理本部
財務課",小計,,,,,,,,,,
新開發項目/通路,0,4,0,0,0,4,新開發項目/通路,3,0,0,0,0,3,,,,,,,,,,
Bug修復,1,0,0,0,0,1,Bug修復,2,0,0,1,0,3,,,,,,,,,,
系統檢測/盤點,0,0,0,0,0,0,系統檢測/盤點,2,0,0,0,0,2,,,,,,,,,,
程式邏輯調整,3,0,0,0,0,3,程式邏輯調整,22,0,0,0,0,22,,,,,,,,,,
產品線功能優化,1,0,0,0,0,1,產品線功能優化,3,0,0,0,0,3,,,,,,,,,,
使用者功能優化,0,2,0,4,1,7,使用者功能優化,0,0,0,2,0,2,,,,,,,,,,
總計,5,6,0,4,1,,總計,32,0,0,3,0,,,,,,,,,,,
各部門內部計價," NT$ 3,125 "," NT$ 3,750 ", NT$ -   ," NT$ 2,500 ", NT$ 625 ,,各部門內部計價," NT$ 20,000 ", NT$ -   , NT$ -   ," NT$ 1,875 ", NT$ -   ,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
2026/08,[紀錄]Release Item 問題&服務上線價值,,,,,,2025/08,[紀錄]Release Item 問題&服務上線價值,,,,,,,,,,,,,,,
項目/計價部門,研發處,"營運處
創新服務部","營運處
旅遊產品發展部","營運處
系統服務發展部","管理本部
財務課",小計,項目/計價部門,研發處,"營運處
創新服務部","營運處
旅遊產品發展部","營運處
系統服務發展部","管理本部
財務課",小計,,,,,,,,,,
新開發項目/通路,,,,,,0,新開發項目/通路,1,0,0,0,0,1,,,,,,,,,,
Bug修復,,,,,,0,Bug修復,2,0,0,1,0,3,,,,,,,,,,
程式邏輯調整,,,,,,0,程式邏輯調整,14,0,0,0,0,14,,,,,,,,,,
產品線功能優化,,,,,,0,產品線功能優化,3,0,0,0,0,3,,,,,,,,,,
使用者功能優化,,,,,,0,使用者功能優化,0,0,0,0,0,0,,,,,,,,,,
總計,0,0,0,0,0,,總計,20,0,0,1,0,,,,,,,,,,,
各部門內部計價, NT$ -   , NT$ -   , NT$ -   , NT$ -   , NT$ -   ,,各部門內部計價," NT$ 12,500 ", NT$ -   , NT$ -   , NT$ 625 , NT$ -   ,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
2026/09,[紀錄]Release Item 問題&服務上線價值,,,,,,2025/09,[紀錄]Release Item 問題&服務上線價值,,,,,,,,,,,,,,,
項目/計價部門,研發處,"營運處
創新服務部","營運處
旅遊產品發展部","營運處
系統服務發展部","管理本部
財務課",小計,項目/計價部門,研發處,"營運處
創新服務部","營運處
旅遊產品發展部","營運處
系統服務發展部","管理本部
財務課",小計,,,,,,,,,,
新開發項目/通路,,,,,,0,新開發項目/通路,0,0,0,4,0,4,,,,,,,,,,
Bug修復,,,,,,0,Bug修復,6,0,0,0,0,6,,,,,,,,,,
程式邏輯調整,,,,,,0,程式邏輯調整,19,0,0,0,0,19,,,,,,,,,,
產品線功能優化,,,,,,0,產品線功能優化,4,0,0,0,0,4,,,,,,,,,,
使用者功能優化,,,,,,0,使用者功能優化,0,0,0,5,0,5,,,,,,,,,,
總計,0,0,0,0,0,,總計,29,0,0,9,0,,,,,,,,,,,
各部門內部計價, NT$ -   , NT$ -   , NT$ -   , NT$ -   , NT$ -   ,,各部門內部計價," NT$ 18,125 ", NT$ -   , NT$ -   ," NT$ 5,625 ", NT$ -   ,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
2026/10,[紀錄]Release Item 問題&服務上線價值,,,,,,2025/10,[紀錄]Release Item 問題&服務上線價值,,,,,,,,,,,,,,,
項目/計價部門,研發處,"營運處
創新服務部","營運處
旅遊產品發展部","營運處
系統服務發展部","管理本部
財務課",小計,項目/計價部門,研發處,"營運處
創新服務部","營運處
旅遊產品發展部","營運處
系統服務發展部","管理本部
財務課",小計,,,,,,,,,,
新開發項目/通路,,,,,,0,新開發項目/通路,0,0,0,0,0,0,,,,,,,,,,
Bug修復,,,,,,0,Bug修復,1,0,0,0,0,1,,,,,,,,,,
程式邏輯調整,,,,,,0,程式邏輯調整,22,0,0,0,0,22,,,,,,,,,,
產品線功能優化,,,,,,0,產品線功能優化,5,0,0,0,0,5,,,,,,,,,,
使用者功能優化,,,,,,0,使用者功能優化,0,0,0,6,0,6,,,,,,,,,,
總計,0,0,0,0,0,,總計,28,0,0,6,0,,,,,,,,,,,
各部門內部計價, NT$ -   , NT$ -   , NT$ -   , NT$ -   , NT$ -   ,,各部門內部計價," NT$ 17,500 ", NT$ -   , NT$ -   ," NT$ 3,750 ", NT$ -   ,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
2026/11,[紀錄]Release Item 問題&服務上線價值,,,,,,2025/11,[紀錄]Release Item 問題&服務上線價值,,,,,,,,,,,,,,,
項目/計價部門,研發處,"營運處
創新服務部","營運處
旅遊產品發展部","營運處
系統服務發展部","管理本部
財務課",小計,項目/計價部門,研發處,"營運處
創新服務部","營運處
旅遊產品發展部","營運處
系統服務發展部","管理本部
財務課",小計,,,,,,,,,,
新開發項目/通路,,,,,,0,新開發項目/通路,3,0,0,0,0,3,,,,,,,,,,
Bug修復,,,,,,0,Bug修復,5,0,0,0,0,5,,,,,,,,,,
程式邏輯調整,,,,,,0,程式邏輯調整,21,0,0,0,0,21,,,,,,,,,,
產品線功能優化,,,,,,0,產品線功能優化,12,0,0,0,0,12,,,,,,,,,,
使用者功能優化,,,,,,0,使用者功能優化,0,0,0,6,0,6,,,,,,,,,,
總計,0,0,0,0,0,,總計,41,0,0,6,0,,,,,,,,,,,
各部門內部計價, NT$ -   , NT$ -   , NT$ -   , NT$ -   , NT$ -   ,,各部門內部計價," NT$ 25,625 ", NT$ -   , NT$ -   ," NT$ 3,750 ", NT$ -   ,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
2026/12,[紀錄]Release Item 問題&服務上線價值,,,,,,2025/12,[紀錄]Release Item 問題&服務上線價值,,,,,,,,,,,,,,,
項目/計價部門,研發處,"營運處
創新服務部","營運處
旅遊產品發展部","營運處
系統服務發展部","管理本部
財務課",小計,項目/計價部門,研發處,"營運處
創新服務部","營運處
旅遊產品發展部","營運處
系統服務發展部","管理本部
財務課",小計,,,,,,,,,,
新開發項目/通路,,,,,,0,新開發項目/通路,0,0,0,6,0,6,,,,,,,,,,
Bug修復,,,,,,0,Bug修復,8,0,0,0,0,8,,,,,,,,,,
程式邏輯調整,,,,,,0,程式邏輯調整,20,0,0,0,0,20,,,,,,,,,,
產品線功能優化,,,,,,0,產品線功能優化,14,0,0,0,0,14,,,,,,,,,,
使用者功能優化,,,,,,0,使用者功能優化,0,0,0,4,0,4,,,,,,,,,,
總計,0,0,0,0,0,,總計,42,0,0,10,0,,,,,,,,,,,
各部門內部計價, NT$ -   , NT$ -   , NT$ -   , NT$ -   , NT$ -   ,,各部門內部計價," NT$ 26,250 ", NT$ -   , NT$ -   ," NT$ 6,250 ", NT$ -   ,,,,,,,,,,,
